PU_Borough,PU_Zone,pickup_hour,trip_count,avg_fare,avg_distance,avg_duration_min
Manhattan,Gramercy,17,19728,15.56,2.1,16.43
Manhattan,Greenwich Village South,0,19631,14.56,2.3,12.85
Manhattan,Murray Hill,22,19529,14.7,2.28,12.75
Manhattan,Central Park,12,19340,15.46,2.02,14.95
Manhattan,Lenox Hill East,19,19307,14.25,2.29,12.89
Manhattan,East Village,2,19274,14.26,2.4,11.58
Manhattan,Yorkville West,16,19259,13.05,1.81,12.51
Manhattan,Midtown Center,8,19237,16.66,2.5,14.08
Manhattan,Union Sq,23,19237,14.58,2.28,13.16
Manhattan,Gramercy,22,19231,14.54,2.21,13.19
Manhattan,Midtown South,13,19200,17.92,2.42,17.15
Manhattan,Yorkville West,19,19194,12.53,1.9,11.07
Manhattan,Lenox Hill West,21,19089,12.39,1.91,10.59
Manhattan,Yorkville West,14,19001,13.07,1.85,12.19
Manhattan,West Chelsea/Hudson Yards,20,19001,16.26,2.45,15.08
Manhattan,West Village,18,18861,14.41,1.81,14.53
Manhattan,Upper West Side South,8,18809,14.73,2.28,13.19
Manhattan,Lenox Hill West,8,18699,13.41,1.94,12.03
Manhattan,Flatiron,18,18624,14.04,1.79,14.07
Manhattan,Sutton Place/Turtle Bay North,17,18605,15.28,1.9,15.62
Manhattan,Upper East Side South,23,18441,13.25,2.12,11.06
Manhattan,Sutton Place/Turtle Bay North,19,18401,13.69,1.95,12.9
Manhattan,Yorkville West,13,18351,13.2,1.89,12.03
Manhattan,East Village,18,18282,14.45,1.97,14.1
Manhattan,Sutton Place/Turtle Bay North,12,18148,15.77,1.85,15.94
Manhattan,Yorkville West,12,18118,13.27,1.89,12.22
Manhattan,Lincoln Square East,8,18064,13.95,2.07,12.51
Manhattan,Yorkville West,11,18015,13.24,1.88,12.08
Manhattan,Upper West Side North,8,17970,15.08,2.35,13.83
Manhattan,Midtown South,12,17955,17.09,2.27,16.63
Manhattan,Upper West Side South,22,17910,14.09,2.28,12.09
Manhattan,Garment District,18,17900,16.55,2.17,17.07
Manhattan,West Chelsea/Hudson Yards,13,17855,17.83,2.41,17.46
Manhattan,Yorkville West,10,17744,12.85,1.92,11.34
Manhattan,Yorkville West,20,17718,12.17,1.9,10.31
Manhattan,Garment District,17,17706,17.63,2.29,18.62
Manhattan,Gramercy,16,17675,16.21,2.25,17.38
Manhattan,Gramercy,15,17555,16.28,2.19,17.08
Manhattan,Murray Hill,8,17500,14.27,1.99,12.76
Manhattan,Flatiron,19,17410,13.52,1.76,13.14
Manhattan,Yorkville East,10,17402,14.12,2.19,12.08
Manhattan,Sutton Place/Turtle Bay North,13,17379,15.97,1.91,16.14
Manhattan,Greenwich Village South,1,17366,14.45,2.33,12.56
Queens,JFK Airport,1,17198,54.89,13.7,25.5
Manhattan,Greenwich Village North,21,17188,15.81,2.33,15.17
Manhattan,Sutton Place/Turtle Bay North,11,17108,15.63,1.84,15.73
Manhattan,Gramercy,14,17075,16.8,2.31,17.48
Manhattan,East Chelsea,9,17064,16.57,2.22,16.53
Manhattan,Sutton Place/Turtle Bay North,20,17061,13.37,2.04,11.99
Manhattan,Flatiron,21,16938,15.43,2.24,14.7
Manhattan,Flatiron,17,16916,14.62,1.85,15.09
Manhattan,Midtown North,9,16910,17.38,2.58,15.33
Manhattan,Clinton East,15,16889,16.91,2.45,16.32
Manhattan,Midtown South,11,16861,16.7,2.22,15.92
Manhattan,Greenwich Village North,18,16830,14.01,1.76,14.04
Manhattan,Midtown East,7,16721,13.71,2.14,11.24
Manhattan,Union Sq,10,16687,14.21,1.8,13.93
Manhattan,Upper West Side North,19,16643,12.35,1.87,10.69
Manhattan,TriBeCa/Civic Center,18,16604,18.01,2.87,17.02
Manhattan,Sutton Place/Turtle Bay North,10,16598,15.08,1.8,14.99
Manhattan,Yorkville East,11,16587,14.28,2.11,12.65
Manhattan,Sutton Place/Turtle Bay North,14,16531,16.16,1.95,16.51
Manhattan,Clinton East,13,16528,16.73,2.46,15.68
Manhattan,Yorkville East,9,16517,14.31,2.33,11.91
Manhattan,Gramercy,13,16464,16.68,2.32,16.92
Manhattan,Midtown North,23,16460,15.09,2.39,13.31
Manhattan,Greenwich Village North,20,16431,15.05,2.13,14.68
Manhattan,Yorkville West,21,16427,12.66,2.04,10.45
Manhattan,Greenwich Village South,20,16358,15.34,2.19,14.89
Manhattan,East Chelsea,23,16331,16.77,2.68,15.13
